iter	Passed	Remaining
656	239281	489124
657	239652	488775
658	240008	488393
659	240357	487998
660	240714	487620
661	241071	487241
662	241435	486875
663	241892	486700
664	242227	486276
665	242590	485909
666	242960	485556
667	243326	485196
668	243695	484840
669	244049	484456
670	244429	484123
671	244794	483761
672	245157	483394
673	245518	483022
674	245863	482621
675	246206	482214
676	246560	481831
677	246921	481460
678	247291	481108
679	247651	480735
680	248001	480343
681	248368	479985
682	248726	479607
683	249099	479261
684	249473	478917
685	249824	478526
686	250170	478128
687	250519	477734
688	250885	477373
689	251257	477025
690	251622	476661
691	251992	476309
692	252345	475924
693	252693	475530
694	253055	475162
695	253419	474796
696	253785	474436
697	254139	474053
698	254513	473707
699	254892	473371
700	255246	472989
701	255630	472661
702	256000	472307
703	256362	471940
704	256717	471559
705	257067	471168
706	257420	470784
707	257781	470415
708	258140	470042
709	258507	469683
710	258871	469319
711	259215	468917
712	259568	468534
713	259927	468161
714	260284	467783
715	260650	467424
716	261015	467061
717	261365	466672
718	261712	466277
719	262079	465918
720	262440	465549
721	262803	465183
722	263169	464822
723	263530	464453
724	263878	464061
725	264225	463667
726	264604	463330
727	264985	462995
728	265392	462708
729	265765	462359
730	266146	462024
731	266567	461758
732	266982	461482
733	267000	460521
734	267372	460171
735	267790	459900
736	268187	459594
737	268604	459320
738	269001	459013
739	269375	458666
740	269754	458328
741	270118	457964
742	270474	457586
743	270838	457222
744	271195	456845
745	271574	456507
746	271955	456171
747	272311	455794
748	272678	455435
749	273017	455028
750	273383	454668
751	273752	454311
752	274105	453931
753	274471	453569
754	274838	453209
755	275190	452826
756	275549	452453
757	275910	452086
758	276280	451731
759	276650	451377
760	277011	451008
761	277391	450669
762	277752	450301
763	277836	449484
764	278175	449080
765	278540	448719
766	278898	448346
767	279253	447968
768	279616	447604
769	279974	447231
770	280337	446868
771	280695	446494
772	281042	446104
773	281391	445718
774	281736	445326
775	282092	444949
776	282471	444610
777	282922	444384
778	283291	444029
779	283656	443667
780	283998	443270
781	284341	442875
782	284709	442517
783	285060	442134
784	285418	441763
785	285777	441392
786	286143	441031
787	286513	440677
788	286877	440314
789	287227	439930
790	287579	439548
791	287930	439166
792	288281	438784
793	288651	438430
794	289012	438063
795	289392	437724
796	289760	437368
797	290108	436979
798	290449	436582
799	290790	436186
800	291139	435801
801	291495	435425
802	291863	435069
803	292230	434710
804	292604	434363
805	292981	434019
806	293330	433634
807	293678	433248
808	294025	432860
809	294386	432494
810	294750	432131
811	295105	431754
812	295479	431408
813	295852	431058
814	296217	430696
815	296572	430320
816	296912	429922
817	297264	429543
818	297633	429187
819	298012	428847
820	298379	428489
821	298747	428132
822	299123	427786
823	299490	427428
824	299837	427041
825	300185	426655
826	300537	426276
827	300891	425899
828	301243	425520
829	301603	425151
830	301972	424796
831	302346	424447
832	302708	424083
833	303082	423734
834	303278	423137
835	303678	422824
836	304051	422475
837	304433	422137
838	304793	421770
839	305163	421415
840	305557	421094
841	305942	420761
842	306302	420394
843	306647	420005
844	306996	419623
845	307345	419239
846	307696	418858
847	308053	418488
848	308418	418126
849	308785	417768
850	309161	417422
851	309542	417083
852	309920	416740
853	310269	416356
854	310621	415978
855	310985	415615
856	311375	415288
857	311764	414958
858	312137	414608
859	312499	414243
860	312870	413889
861	313241	413536
862	313615	413187
863	313961	412801
864	314317	412427
865	314680	412063
866	315048	411706
867	315417	411350
868	315798	411010
869	316162	410647
870	316536	410298
871	316931	409975
872	317295	409612
873	317647	409234
874	317991	408846
875	318334	408457
876	318675	408064
877	319038	407700
878	319400	407335
879	319763	406971
880	320127	406609
881	320524	406287
882	320895	405934
883	321256	405567
884	321615	405199
885	321962	404814
886	322310	404432
887	322674	404069
888	323030	403697
889	323208	403103
890	323583	402754
891	324043	402511
892	324415	402158
893	324778	401794
894	325151	401444
895	325509	401074
896	325905	400750
897	326259	400375
898	326620	400010
899	327091	399778
900	327491	399459
901	327888	399137
902	328297	398828
903	328713	398528
904	329147	398249
905	329524	397902
906	329911	397566
907	330287	397218
908	330640	396841
909	331000	396472
910	331382	396131
911	331739	395759
912	332101	395393
913	332498	395069
914	332896	394745
915	333350	394488
916	333743	394159
917	334153	393849
918	334602	393586
919	334966	393221
920	335321	392846
921	335691	392489
922	336039	392106
923	336411	391751
924	336764	391375
925	337115	390995
926	337478	390630
927	337856	390282
928	338224	389922
